ProductID,ProductName,Category,Brand,Rating,ImageURL
85123A,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,men's clothing,4.1,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg
71053,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,electronics,2.9,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg
84406B,Solid Gold Petite Micropave ,jewelery,jewelery,3.9,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg
84029G,Mens Casual Premium Slim Fit T-Shirts ,men's clothing,men's clothing,4.1,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg
84029E,Mens Cotton Jacket,men's clothing,men's clothing,4.7,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg
22752,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,electronics,electronics,3.3,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg
21730,DANVOUY Womens T Shirt Casual Cotton Short,women's clothing,women's clothing,3.6,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_.jpg
22633,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,electronics,4.8,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg
22632,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,electronics,2.9,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg
84879,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,women's clothing,4.7,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg
22745,White Gold Plated Princess,jewelery,jewelery,3.0,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg
22748,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,women's clothing,women's clothing,2.6,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_.jpg
22749,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,electronics,4.8,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg
22310,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED ,electronics,electronics,2.2,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg
84969,Mens Casual Slim Fit,men's clothing,men's clothing,2.1,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg
22623,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,women's clothing,2.9,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg
22622,White Gold Plated Princess,jewelery,jewelery,3.0,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg
21754,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,jewelery,1.9,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg
21755,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,women's clothing,2.9,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg
21777,Solid Gold Petite Micropave ,jewelery,jewelery,3.9,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg
48187,Solid Gold Petite Micropave ,jewelery,jewelery,3.9,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg
22960,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,women's clothing,4.7,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg
22913,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,electronics,4.8,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg
22912,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,women's clothing,4.7,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg
22914,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,men's clothing,3.9,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg
21756,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,electronics,electronics,4.8,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg
22728,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,jewelery,4.6,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg
22727,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,women's clothing,women's clothing,2.6,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_.jpg
22726,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,men's clothing,3.9,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg
21724,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket,women's clothing,women's clothing,2.9,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg
21883,Rain Jacket Women Windbreaker Striped Climbing Raincoats,women's clothing,women's clothing,3.8,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2.jpg
