OrderID,OrderDate,CustomerID
536365,2020-11-14,17850.0
536366,2022-01-14,17850.0
536367,2024-03-12,13047.0
536368,2020-08-26,13047.0
536369,2024-09-01,13047.0
536370,2023-04-30,12583.0
536371,2023-03-07,13748.0
536372,2023-09-29,17850.0
536373,2024-07-08,17850.0
536374,2022-06-07,15100.0
536375,2021-10-29,17850.0
536376,2022-09-02,15291.0
536377,2022-05-06,17850.0
536378,2025-05-04,14688.0
536380,2022-10-18,17809.0
536381,2022-09-27,15311.0
C536379,2021-05-13,14527.0
536382,2020-02-23,16098.0
C536383,2021-05-29,15311.0
536384,2023-09-09,18074.0
536385,2021-07-17,17420.0
536386,2023-02-14,16029.0
536387,2022-09-26,16029.0
536388,2023-10-31,16250.0
536389,2024-03-04,12431.0
536390,2021-08-17,17511.0
C536391,2021-06-26,17548.0
536392,2020-12-18,13705.0
536393,2025-02-20,13747.0
536394,2022-07-23,13408.0
536395,2024-04-15,13767.0
536396,2024-02-25,17850.0
536397,2023-01-10,17924.0
536398,2023-06-03,13448.0
536399,2024-05-26,17850.0
536400,2021-02-09,13448.0
536401,2024-08-28,15862.0
536402,2023-11-14,15513.0
536403,2021-12-02,12791.0
536404,2022-10-02,16218.0
536405,2023-06-03,14045.0
536406,2025-04-22,17850.0
536407,2023-09-14,17850.0
536408,2023-07-28,14307.0
536409,2022-05-21,17908.0
536412,2021-08-18,17920.0
536415,2022-05-29,12838.0
536416,2022-11-13,13255.0
536420,2022-12-06,16583.0
536423,2022-09-18,18085.0
536425,2024-06-23,13758.0
536437,2022-03-27,13694.0
536446,2022-09-30,15983.0
536460,2020-08-08,14849.0
536463,2021-04-07,14849.0
536464,2021-05-25,17968.0
536466,2024-07-22,14849.0
536477,2023-05-11,16210.0
536488,2020-01-03,17897.0
536500,2022-09-29,17377.0
536502,2020-03-14,16552.0
536508,2023-10-16,17181.0
C536506,2023-06-19,17897.0
536514,2024-10-14,17951.0
536520,2023-08-19,14729.0
536521,2020-11-23,12748.0
536522,2021-06-16,15012.0
536523,2025-07-26,12868.0
536524,2022-11-26,17572.0
536525,2024-03-15,14078.0
536526,2022-02-12,14001.0
536527,2022-12-02,12662.0
536528,2025-03-26,15525.0
536529,2021-10-22,14237.0
536530,2022-08-29,17905.0
536531,2021-11-11,15485.0
536532,2024-09-03,12433.0
536533,2022-03-22,16955.0
536534,2022-08-24,15350.0
536535,2020-10-18,15605.0
536536,2022-10-30,18144.0
536537,2022-06-20,15922.0
536538,2020-08-22,14594.0
536539,2022-01-06,15165.0
536540,2024-02-18,14911.0
536541,2024-01-27,14911.0
536542,2024-10-06,16456.0
C536543,2020-03-07,17841.0
C536548,2023-09-07,12472.0
536551,2023-08-27,17346.0
536556,2024-11-05,17643.0
536557,2021-04-13,17841.0
536559,2020-12-12,17873.0
536560,2020-12-01,13093.0
536561,2020-11-14,12921.0
536562,2025-06-13,13468.0
536563,2021-11-13,17760.0
536564,2022-03-09,13468.0
536566,2024-12-11,16928.0
536567,2021-05-23,16048.0
536568,2023-02-09,16048.0
536569,2024-05-20,16274.0
536570,2025-06-27,14496.0
536571,2022-02-09,14696.0
536572,2022-04-17,16539.0
536573,2022-02-11,17025.0
536574,2020-03-24,17025.0
536575,2022-11-15,13777.0
536576,2025-01-12,13777.0
536577,2023-10-17,13777.0
536578,2021-03-27,17690.0
536579,2020-01-01,13777.0
536580,2020-06-24,17690.0
536581,2021-10-02,13777.0
536582,2024-11-10,12947.0
536583,2023-02-12,13777.0
